ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_8A14,P_12A14,P_15A17,P_18A24,P_60YMAS,REL_H_M,POB65_MAS,PROM_HNV,PNACENT_F,PNACENT_M,PSINDER,PDER_SS,PCLIM_CSB,PCLIM_VIS,PCLIM_OAUD,PCLIM_PMEN,PSIND_LIM
13,Hidalgo,000,Total de la entidad Hidalgo,0000,Total de la entidad,0000,000,3082841,1601462,1481379,134738,156486,330011,394943,170183,167457,343236,383675,92.50,264746,2.17,1262222,1185506,928550,2149373,125372,268903,91931,38551,2482249
13,Hidalgo,001,Acatlán,0000,Total del municipio,0000,000,22268,11563,10705,1241,1239,2698,3187,1324,1299,2448,2625,92.58,1847,2.54,10370,9711,9798,12464,844,1558,507,253,18608
13,Hidalgo,001,Acatlán,0001,Total de la localidad urbana,0000,000,439,229,210,21,18,49,59,25,25,44,64,91.70,53,2.29,197,176,227,212,13,70,9,3,300
13,Hidalgo,001,Acatlán,0001,Total AGEB urbana,0043,000,439,229,210,21,18,49,59,25,25,44,64,91.70,53,2.29,197,176,227,212,13,70,9,3,300
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,001,92,54,38,6,5,12,15,8,7,11,11,70.37,10,2.07,43,26,47,45,*,12,3,0,62
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,002,7,4,3,0,0,*,*,0,*,0,*,75,*,5.33,4,3,*,5,*,0,0,0,5
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,006,47,20,27,*,*,3,5,*,*,9,7,135,7,2.11,18,24,23,24,*,6,*,*,36
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,007,44,21,23,*,*,5,7,4,*,*,6,109.52,5,2.41,18,22,14,30,0,5,*,0,34
13,Hidalgo,001,Acatlán,0001,Acatlán,0043,008,21,11,10,0,*,*,*,*,*,4,3,90.91,3,2.40,10,9,12,9,*,5,*,0,7
